Kansas,33
Villanova,35
Virginia,29
Oregon,31
North Carolina,33
Oklahoma,29
Miami (FL),27
Xavier,28
Utah,27
Kentucky,27
West Virginia,26
Michigan St.,29
Maryland,27
SMU,25
Duke,25
Louisville,23
Purdue,26
Texas A&M,28
Indiana,27
Iowa St.,23
Saint Joseph's,28
California,23
Seton Hall,25
Notre Dame,24
Dayton,25
Iowa,22
Baylor,22
Arizona,25
St. Mary's (CA),29
San Diego St.,28
Valparaiso,30
Providence,24
UConn,25
Texas,20
George Washington,28
Wisconsin,22
Gonzaga,28
VCU,25
South Dakota St.,26
Syracuse,23
Wichita St.,26
Little Rock,30
Yale,23
Akron,26
Florida,21
St. Bonaventure,22
Princeton,22
Oregon St.,19
Colorado,22
Texas Tech,19
Georgia Tech,21
UNCW,25
Butler,22
Pittsburgh,21
Cincinnati,22
Chattanooga,29
Hofstra,24
Michigan,23
Georgia,20
Monmouth,28
Southern California,21
SFA,28
Stony Brook,26
Fresno St.,25
UC Irvine,28
UNI,23
BYU,26
Temple,21
Davidson,20
Tulsa,20
Vanderbilt,19
William & Mary,20
South Carolina,25
Fort Wayne,24
Florida St.,20
Hawaii,28
Middle Tenn.,25
Ohio St.,21
Alabama,18
Virginia Tech,20
UAB,26
Washington,19
ETSU,24
Long Beach St.,20
Iona,22
Ohio,23
Stanford,15
Grand Canyon,27
Kansas St.,17
Houston,22
Buffalo,20
Evansville,25
A&M-Corpus Chris,25
Creighton,20
LSU,19
Nevada,24
Belmont,20
Ole Miss,20
UC Santa Barbara,19
Morehead St.,23
Boise St.,20
Columbia,25
Georgetown,15
La.-Monroe,20
Oakland,23
James Madison,21
UT Arlington,24
Albany (NY),24
Arizona St.,15
UCLA,15
Marquette,20
New Mexico St.,23
Weber St.,26
Northeastern,18
Green Bay,23
Old Dominion,25
Northwestern,20
Illinois St.,18
North Carolina St.,16
Eastern Mich.,18
Penn St.,16
Rhode Island,17
Siena,21
CSU Bakersfield,24
Richmond,16
Vermont,23
Clemson,17
Kent St.,19
Louisiana Tech,23
Marshall,17
Winthrop,23
UNC Asheville,22
North Dakota St.,20
Arkansas,16
Pepperdine,18
Southern Ill.,22
New Mexico,17
Col. of Charleston,17
Tennessee Tech,19
Memphis,19
Wright St.,22
Tennessee,15
Northern Ill.,21
Coastal Caro.,21
UL Lafayette,19
UNLV,18
Montana,21
Utah St.,16
Omaha,18
Fairfield,19
Illinois,15
High Point,21
Mississippi St.,14
Wake Forest,11
Oral Roberts,14
Towson,20
Western Ky.,18
Hampton,21
Ball St.,21
Tennessee St.,20
Duquesne,17
Elon,16
New Hampshire,20
Nebraska,16
Lehigh,17
Incarnate Word,17
North Florida,22
Wagner,23
Central Mich.,17
Indiana St.,15
Colorado St.,18
Murray St.,17
Milwaukee,20
Massachusetts,14
Western Caro.,16
Furman,19
Georgia St.,16
Bucknell,17
Auburn,11
Oklahoma St.,12
TCU,12
Texas Southern,18
NJIT,20
Toledo,17
Boston U.,19
Wyoming,13
Harvard,14
Fordham,17
Austin Peay,18
Radford,16
IUPUI,13
Sam Houston St.,18
Mercer,19
Denver,16
Miami (OH),13
FGCU,21
Southern U.,22
Detroit,16
Idaho,21
South Dakota,14
DePaul,9
Wofford,15
George Mason,11
UT Martin,20
South Carolina St.,19
Bowling Green,16
Saint Louis,11
Gardner-Webb,17
Western Mich.,13
Fairleigh Dickinson,18
Jackson St.,20
Army West Point,19
Saint Peter's,14
Navy,19
UTEP,19
Eastern Ky.,15
Washington St.,9
Norfolk St.,17
UCF,12
East Carolina,12
North Dakota,17
Air Force,14
Loyola Marymount,14
Missouri,10
Canisius,14
San Francisco,15
American,12
Eastern Wash.,18
Manhattan,13
South Fla.,8
Charlotte,14
Tulane,12
UNCG,15
Houston Baptist,17
Missouri St.,13
Holy Cross,15
Loyola Chicago,15
La Salle,9
Colgate,13
South Ala.,14
Texas St.,15
Cornell,10
Cal Poly,10
Ga. Southern,14
St. John's (NY),8
Rider,13
Mt. St. Mary's,14
Boston College,7
Santa Clara,11
Portland,12
Drexel,6
Alcorn,15
Samford,14
LIU Brooklyn,16
UMass Lowell,11
Sacred Heart,12
Loyola Maryland,9
Montana St.,14
Kennesaw St.,11
Liberty,13
Idaho St.,16
Appalachian St.,9
Saint Francis (PA),13
Minnesota,8
Pacific,8
Alabama St.,14
Western Ill.,10
UC Riverside,14
FIU,13
Lipscomb,12
Eastern Ill.,13
Youngstown St.,11
St. Francis Brooklyn,15
Utah Valley,12
Delaware,7
Sacramento St.,14
Cleveland St.,9
Rice,12
UC Davis,11
Penn,11
Dartmouth,10
CSUN,10
Portland St.,13
Arkansas St.,11
Seattle,15
Savannah St.,16
Jacksonville,16
UMKC,12
Cal St. Fullerton,10
Robert Morris,10
Bethune-Cookman,14
Hartford,10
Rutgers,7
North Texas,12
Troy,9
Northern Ky.,9
Charleston So.,9
Quinnipiac,9
San Jose St.,9
Stetson,12
Fla. Atlantic,8
San Diego,9
Binghamton,8
Bradley,5
Northern Colo.,10
SIUE,6
UMES,10
Campbell,12
Brown,8
Ark.-Pine Bluff,8
Jacksonville St.,8
Southern Miss.,8
Presbyterian,11
Maine,8
N.C. Central,13
Nicholls St.,11
VMI,9
Niagara,7
Longwood,10
Bryant,8
Marist,7
Drake,7
USC Upstate,10
The Citadel,10
Abilene Christian,13
Lafayette,6
Coppin St.,9
Howard,12
Morgan St.,9
Mississippi Val.,8
Alabama A&M,11
Southeastern La.,12
Northern Ariz.,5
Prairie View,7
UTRGV,8
Southern Utah,5
Lamar University,11
UMBC,7
Central Ark.,7
N.C. A&T,10
McNeese,9
Southeast Mo. St.,5
New Orleans,10
Northwestern St.,8
Delaware St.,7
Ill.-Chicago,5
UTSA,5
Chicago St.,4
Florida A&M,8
Grambling,7
Central Conn. St.,4
